CONSTITUENCIES,ELECTORATE,P.N.M._VOTES_%,U.N.C._VOTES_%,VOTER_TURNOUT,TOTAL_NUMBER_OF_VOTES_CAST,VALID_VOTES,Year,ELECTORAL_DISTRICT_ARIMA,ELECTORAL_DISTRICT_AROUCA/MALONEY,ELECTORAL_DISTRICT_BARATARIA/SAN JUAN,ELECTORAL_DISTRICT_CARONI CENTRAL,ELECTORAL_DISTRICT_CARONI EAST,ELECTORAL_DISTRICT_CHAGUANAS EAST,ELECTORAL_DISTRICT_CHAGUANAS WEST,ELECTORAL_DISTRICT_COUVA NORTH,ELECTORAL_DISTRICT_COUVA SOUTH,ELECTORAL_DISTRICT_CUMUTO/MANZANILLA,ELECTORAL_DISTRICT_D'ABADIE/O'MEARA,ELECTORAL_DISTRICT_DIEGO MARTIN CENTRAL,ELECTORAL_DISTRICT_DIEGO MARTIN NORTH/EAST,ELECTORAL_DISTRICT_DIEGO MARTIN WEST,ELECTORAL_DISTRICT_FYZABAD,ELECTORAL_DISTRICT_LA BREA,ELECTORAL_DISTRICT_LA HORQUETTA/TALPARO,ELECTORAL_DISTRICT_LAVENTILLE EAST/MORVANT,ELECTORAL_DISTRICT_LAVENTILLE WEST,ELECTORAL_DISTRICT_LOPINOT/BON AIR WEST,ELECTORAL_DISTRICT_MAYARO,ELECTORAL_DISTRICT_MORUGA/TABLELAND,ELECTORAL_DISTRICT_NAPARIMA,ELECTORAL_DISTRICT_OROPOUCHE EAST,ELECTORAL_DISTRICT_OROPOUCHE WEST,ELECTORAL_DISTRICT_POINT FORTIN,ELECTORAL_DISTRICT_POINTE-A-PIERRE,ELECTORAL_DISTRICT_PORT-OF-SPAIN NORTH/ST. ANN'S WEST,ELECTORAL_DISTRICT_PORT-OF-SPAIN SOUTH,ELECTORAL_DISTRICT_PRINCES TOWN,ELECTORAL_DISTRICT_SAN FERNANDO EAST,ELECTORAL_DISTRICT_SAN FERNANDO WEST,ELECTORAL_DISTRICT_SIPARIA,ELECTORAL_DISTRICT_ST. ANN'S EAST,ELECTORAL_DISTRICT_ST. AUGUSTINE,ELECTORAL_DISTRICT_ST. JOSEPH,ELECTORAL_DISTRICT_TABAQUITE,ELECTORAL_DISTRICT_TOBAGO EAST,ELECTORAL_DISTRICT_TOBAGO WEST,ELECTORAL_DISTRICT_TOCO/SANGRE GRANDE,ELECTORAL_DISTRICT_TOTAL,ELECTORAL_DISTRICT_TUNAPUNA,GDP (Per Capita US$),GNI (Per Capita US $),GNI (Percentage Change),Homicide_rate_per_100k,Homicide (Annual Percentage Change),Inflation,Unemployment,Net Migration Rate,Growth Rate,GDP_(US$),GNI (Per Capita US $)_1t,GNI (Per Capita US $)_1y,Inflation_1t,Inflation_1y,Unemployment_1t,Unemployment_1y,Net Migration Rate_1t,Net Migration Rate_1y,GDP (Per Capita US$)_1t,GDP (Per Capita US$)_1y,GDP_(US$)_1t,GDP_(US$)_1y,Homicide_rate_per_100k_1t,Homicide_rate_per_100k_1y
SAN FERNANDO EAST,22097,0.6878165822447347,0.10863769661423621,0.6809521654523238,15047,15004,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
SAN FERNANDO WEST,21035,0.5038966365873667,0.15764287667487012,0.698027097694319,14683,14628,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
SIPARIA,25667,0.2574998623878461,0.5682281059063137,0.7118868586122258,18272,18167,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
ST. ANN'S EAST,25495,0.6991267900803353,0.07404820118756548,0.5643851735634439,14389,14315,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
ST. AUGUSTINE,24414,0.2423782202722466,0.3961637979525256,0.7298271483574998,17818,17778,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
ST. JOSEPH,24932,0.4675271340569082,0.2893517160457612,0.6855446815337719,17092,17045,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
TABAQUITE,25720,0.2988834349209774,0.3886941043206214,0.723950233281493,18620,18539,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
TOBAGO EAST,19320,0.3663315287445218,0.2434265010351967,0.8065734989648033,15583,15516,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
TOBAGO WEST,21936,0.4307363390555241,0.19037199124726478,0.7262946754194018,15932,15903,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
TOCO/SANGRE GRANDE,26721,0.5745115719867748,0.23228133453561767,0.6259122038845851,16725,16635,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
TUNAPUNA,23833,0.5097827391669667,0.2392269835553955,0.7017580665463853,16725,16662,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
TOTAL,990467,0.4537428034627955,0.30786831469634085,0.6711218041590482,664724,662124,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
ARIMA,24115,0.4812379624095105,0.5054127648269908,0.627410325523533,15130,15057,2010,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
AROUCA/MALONEY,25019,0.6715451895043731,0.321865889212828,0.6873176385946681,17196,17150,2010,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
BARATARIA/SAN JUAN,25394,0.38107619262943704,0.618923807370563,0.6996928408285422,17768,17692,2010,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
CARONI CENTRAL,24601,0.2603638691778264,0.7396361308221736,0.7639120360960937,18793,18743,2010,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
CARONI EAST,25166,0.19909115209836942,0.8009088479016305,0.7455296829055075,18762,18705,2010,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
CHAGUANAS EAST,23653,0.3826696291232268,0.6151085284566741,0.7445567158499979,17611,17553,2010,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
CHAGUANAS WEST,25715,0.07278214833506506,0.927217851664935,0.7886836476764534,20281,20211,2010,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
COUVA NORTH,27680,0.2431655354449472,0.7568344645550528,0.7690028901734104,21286,21216,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
COUVA SOUTH,26400,0.2408416590977899,0.7591583409022101,0.7529166666666667,19877,19818,2010,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
CUMUTO/MANZANILLA,26896,0.3519063020680192,0.6427521317259629,0.763198988697204,20527,20406,2010,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
D'ABADIE/O'MEARA,26019,0.46279159971186346,0.5372084002881365,0.6964525923363696,18121,18047,2010,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
DIEGO MARTIN CENTRAL,27465,0.5246053853296193,0.46698003714020425,0.628618241398143,17265,17232,2010,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
DIEGO MARTIN NORTH/EAST,27647,0.5100651096111344,0.48240845827608864,0.6079863999710637,16809,16741,2010,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
DIEGO MARTIN WEST,28366,0.526095304590679,0.46523535230115787,0.6080518931114715,17248,17187,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
FYZABAD,25802,0.36153769939562075,0.6384623006043793,0.7846290985194946,20245,20186,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
LA BREA,24057,0.568375315600963,0.41782631671657566,0.710728686037328,17098,17031,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
LA HORQUETTA/TALPARO,23959,0.46452044790652386,0.5301850048685491,0.6879669435285279,16483,16432,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
LAVENTILLE EAST/MORVANT,27426,0.7209535256410257,0.24906517094017094,0.5483118208998761,15038,14976,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
LAVENTILLE WEST,27426,0.7974730583426236,0.20252694165737645,0.492014876394662,13494,13455,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
LOPINOT/BON AIR WEST,24447,0.47134449460030853,0.5286555053996914,0.7182476377469628,17559,17501,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
MAYARO,26433,0.3633029341792228,0.6366970658207771,0.7681685771573412,20305,20176,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
MORUGA/TABLELAND,26450,0.4274459599192476,0.5725540400807524,0.7725141776937618,20433,20309,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
NAPARIMA,25394,0.133190734557596,0.866809265442404,0.7572654957864062,19230,19168,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
OROPOUCHE EAST,27181,0.13808356170969757,0.8619164382903024,0.7674846400058865,20861,20799,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
OROPOUCHE WEST,23427,0.199051597606413,0.800948402393587,0.7586118581124344,17772,17714,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
POINT FORTIN,24607,0.5194465886823822,0.4805534113176177,0.6863087739261186,16888,16841,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
POINTE-A-PIERRE,23504,0.3890815527463922,0.6109184472536078,0.7640827093260721,17959,17878,2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,0.08971297022261182,0.014949904694659908,0.28989788662821353,0.4132752112980306,-0.3174839848679613,-0.2694155818269389,-0.3729504452236229,-0.2083808338881186,0.03181067716570896,0.15259555944868175,0.023576706540161516,0.14473552206854853,0.1723535141296648,-0.07576772357208629
