CONSTITUENCIES,ELECTORATE,P.N.M._VOTES_%,U.N.C._VOTES_%,VOTER_TURNOUT,TOTAL_NUMBER_OF_VOTES_CAST,VALID_VOTES,Year,ELECTORAL_DISTRICT_ARIMA,ELECTORAL_DISTRICT_AROUCA/MALONEY,ELECTORAL_DISTRICT_BARATARIA/SAN JUAN,ELECTORAL_DISTRICT_CARONI CENTRAL,ELECTORAL_DISTRICT_CARONI EAST,ELECTORAL_DISTRICT_CHAGUANAS EAST,ELECTORAL_DISTRICT_CHAGUANAS WEST,ELECTORAL_DISTRICT_COUVA NORTH,ELECTORAL_DISTRICT_COUVA SOUTH,ELECTORAL_DISTRICT_CUMUTO/MANZANILLA,ELECTORAL_DISTRICT_D'ABADIE/O'MEARA,ELECTORAL_DISTRICT_DIEGO MARTIN CENTRAL,ELECTORAL_DISTRICT_DIEGO MARTIN NORTH/EAST,ELECTORAL_DISTRICT_DIEGO MARTIN WEST,ELECTORAL_DISTRICT_FYZABAD,ELECTORAL_DISTRICT_LA BREA,ELECTORAL_DISTRICT_LA HORQUETTA/TALPARO,ELECTORAL_DISTRICT_LAVENTILLE EAST/MORVANT,ELECTORAL_DISTRICT_LAVENTILLE WEST,ELECTORAL_DISTRICT_LOPINOT/BON AIR WEST,ELECTORAL_DISTRICT_MAYARO,ELECTORAL_DISTRICT_MORUGA/TABLELAND,ELECTORAL_DISTRICT_NAPARIMA,ELECTORAL_DISTRICT_OROPOUCHE EAST,ELECTORAL_DISTRICT_OROPOUCHE WEST,ELECTORAL_DISTRICT_POINT FORTIN,ELECTORAL_DISTRICT_POINTE-A-PIERRE,ELECTORAL_DISTRICT_PORT-OF-SPAIN NORTH/ST. ANN'S WEST,ELECTORAL_DISTRICT_PORT-OF-SPAIN SOUTH,ELECTORAL_DISTRICT_PRINCES TOWN,ELECTORAL_DISTRICT_SAN FERNANDO EAST,ELECTORAL_DISTRICT_SAN FERNANDO WEST,ELECTORAL_DISTRICT_SIPARIA,ELECTORAL_DISTRICT_ST. ANN'S EAST,ELECTORAL_DISTRICT_ST. AUGUSTINE,ELECTORAL_DISTRICT_ST. JOSEPH,ELECTORAL_DISTRICT_TABAQUITE,ELECTORAL_DISTRICT_TOBAGO EAST,ELECTORAL_DISTRICT_TOBAGO WEST,ELECTORAL_DISTRICT_TOCO/SANGRE GRANDE,ELECTORAL_DISTRICT_TOTAL,ELECTORAL_DISTRICT_TUNAPUNA,GDP (Per Capita US$),GNI (Per Capita US $),GNI (Percentage Change),Homicide_rate_per_100k,Homicide (Annual Percentage Change),Inflation,Unemployment,Net Migration Rate,Growth Rate,GDP_(US$),GNI (Per Capita US $)_1t,GNI (Per Capita US $)_1y,Inflation_1t,Inflation_1y,Unemployment_1t,Unemployment_1y,Net Migration Rate_1t,Net Migration Rate_1y,GDP (Per Capita US$)_1t,GDP (Per Capita US$)_1y,GDP_(US$)_1t,GDP_(US$)_1y,Homicide_rate_per_100k_1t,Homicide_rate_per_100k_1y
D'ABADIE/O'MEARA,23916,0.5900299102691924,0.1611831173147225,0.6307911021910019,15086,15045,2007,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
DIEGO MARTIN CENTRAL,25975,0.6017338422721097,0.037652843371935044,0.5960731472569779,15483,15457,2007,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
DIEGO MARTIN NORTH/EAST,27131,0.6130893829103548,0.0575119679979015,0.563525118867716,15289,15249,2007,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
DIEGO MARTIN WEST,26651,0.6013434198513108,0.033455067170992565,0.5778019586507073,15399,15334,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
FYZABAD,24752,0.3893063740065957,0.40882305238687355,0.7499191984486102,18562,18497,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
LA BREA,23034,0.6526677917694405,0.22653511618849798,0.6727880524442129,15497,15406,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
LA HORQUETTA/TALPARO,22689,0.5776143223926168,0.242453681215738,0.6381506456873375,14479,14411,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
LAVENTILLE EAST/MORVANT,26529,0.8073080008752097,0.08073809350156809,0.5189415356779373,13767,13711,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
LAVENTILLE WEST,25633,0.8816411106506423,0.028429341069208455,0.472437873054266,12110,12065,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
LOPINOT/BON AIR WEST,22834,0.5459953940634595,0.2499360286591607,0.6871332223876675,15690,15632,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,0.7917089360007193,0.12060989266253655,0.6430297126476667,-0.05366368643823543,-0.6288493043519437,-0.12378185388563687,-0.15018302621696472,0.007490671729157659,0.8879513842201662,0.1660127742149502,0.876472136919311,0.16393419606662377,0.7987832488008525,0.04677307128318007
