ELECTORAL_DISTRICT,ELECTORATE,TOTAL_NUMBER_OF_VOTES_CAST,VOTER_TURNOUT,REJECTED_BALLOTS,VALID_VOTES,P.N.M._VOTES,P.N.M._VOTES_%,U.N.C._VOTES,U.N.C._VOTES_%,C.O.P._VOTES,C.O.P._VOTES_%,D.A.C._VOTES,D.A.C._VOTES_%,D.N.A._VOTES,D.N.A._VOTES_%,I.N.D_VOTES,I.N.D._VOTES_%,Year,GDP (Per Capita US$),GNI (Per Capita US $),GNI (Percentage Change),Homicide_rate_per_100k,Annual (Percentage Change),Inflation,Unemployment,Net Migration Rate,Growth Rate,GDP_(US$),GNI (Per Capita US $)_1t,GNI (Per Capita US $)_1y,Inflation_1t,Inflation_1y,Unemployment_1t,Unemployment_1y,Net Migration Rate_1t,Net Migration Rate_1y,GDP (Per Capita US$)_1t,GDP (Per Capita US$)_1y,GDP_(US$)_1t,GDP_(US$)_1y,N.N.V._VOTES,N.N.V._VOTES_%,T.O.P._VOTES,T.O.P._VOTES_%,T.H.C._VOTES,T.H.C._VOTES_%,T.T.N.C.P._VOTES,T.T.N.C.P._VOTES_%,I.L.P._VOTES,I.L.P._VOTES_%,N.J.A.C._VOTES,N.J.A.C._VOTES_%,D.D.P._VOTES,D.D.P._VOTES_%,I.D.P._VOTES,I.D.P._VOTES_%,L.O.V.E._VOTES,L.O.V.E._VOTES_%,N.C.T._VOTES,N.C.T._VOTES_%,T.F._VOTES,T.F._VOTES_%,T.N.V._VOTES,T.N.V._VOTES_%,T.P.T._VOTES,T.P.T._VOTES_%,Y.E.P._VOTES,Y.E.P._VOTES_%,Y.O.U.R._VOTES,Y.O.U.R._VOTES_%,P.E.P._VOTES,P.E.P._VOTES_%,D.P.T._VOTES,D.P.T._VOTES_%,M.N.D._VOTES,M.N.D._VOTES_%,M.S.J._VOTES,M.S.J._VOTES_%,N.O.W._VOTES,N.O.W._VOTES_%,O.T.V._VOTES,O.T.V._VOTES_%,P.D.P._VOTES,P.D.P._VOTES_%,P.P._VOTES,P.P._VOTES_%,T.D.F._VOTES,T.D.F._VOTES_%,T.N.P._VOTES,T.N.P._VOTES_%,U.P.P._VOTES,U.P.P._VOTES_%,U.T.P._VOTES,U.T.P._VOTES_%,Winning_Party,Margin_of_Victory
MAYARO,25401,18802,0.7402070784614779,113,18689,8137,0.435389801487506,8613.0,0.4608593290170689,1939.0,0.10375086949542511,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.025469527529562885
MORUGA/TABLELAND,25301,18607,0.7354254772538635,109,18498,9108,0.49237755433019786,7925.0,0.4284246945615742,1465.0,0.07919775110822792,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.06395285976862364
NAPARIMA,24471,17595,0.6954270582190427,75,17520,2892,0.16506849315068492,10338.0,0.5900684931506849,4290.0,0.24486301369863014,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.42499999999999993
OROPOUCHE EAST,25836,18798,0.7681745739855339,72,18726,3081,0.1645305991669337,10156.0,0.5423475381822066,5489.0,0.29312186265085977,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.3778169390152729
OROPOUCHE WEST,22513,16457,0.6369794085771792,60,16397,3629,0.2213209733487833,8570.0,0.5226565835213759,4198.0,0.25602244312984085,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.3013356101725926
POINT FORTIN,23832,15785,0.7011504464087416,50,15735,9257,0.588306323482682,2640.0,0.16777883698760723,3838.0,0.24391483952971083,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.42052748649507476
POINTE-A-PIERRE,24467,17428,0.7312856663309836,70,17358,7505,0.432365479893997,6189.0,0.35655029381265124,3664.0,0.21108422629335177,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.07581518608134574
PORT-OF-SPAIN NORTH/ST. ANN'S WEST,22164,12340,0.5043528017329464,32,12308,8359,0.6791517712057199,305.0,0.024780630484237894,3644.0,0.29606759831004226,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.6543711407214821
PORT-OF-SPAIN SOUTH,22037,11630,0.5277487861324137,30,11600,7823,0.6743965517241379,566.0,0.048793103448275865,3141.0,0.27077586206896553,0.0,0.0,0.0,0.0,70.0,0.00603448275862069,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.6256034482758621
PRINCES TOWN,24208,17425,0.7198033707865169,72,17353,5298,0.3053074396357978,8231.0,0.47432720567048925,3824.0,0.2203653546937129,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.16901976603469143
SAN FERNANDO EAST,22097,15047,0.6809521654523238,43,15004,10320,0.6878165822447347,1630.0,0.10863769661423621,3054.0,0.20354572114102906,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.5791788856304986
SAN FERNANDO WEST,21035,14683,0.698027097694319,55,14628,7371,0.5038966365873667,2306.0,0.15764287667487012,4951.0,0.3384604867377632,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.34625375991249663
SIPARIA,25667,18272,0.7118868586122258,105,18167,4678,0.2574998623878461,10323.0,0.5682281059063137,3166.0,0.17427203170584027,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.31072824351846756
ST. ANN'S EAST,25495,14389,0.5643851735634439,74,14315,10008,0.6991267900803353,1060.0,0.07404820118756548,3247.0,0.2268250087320992,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.6250785888927698
ST. AUGUSTINE,24414,17818,0.7298271483574998,40,17778,4309,0.2423782202722466,7043.0,0.3961637979525256,6426.0,0.3614579817752278,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.153785577680279
ST. JOSEPH,24932,17092,0.6855446815337719,47,17045,7969,0.4675271340569082,4932.0,0.2893517160457612,4144.0,0.2431211498973306,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.178175418011147
TABAQUITE,25720,18620,0.723950233281493,81,18539,5541,0.2988834349209774,7206.0,0.3886941043206214,5792.0,0.3124224607584012,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.089810669399644
TOBAGO EAST,19320,10880,0.5631469979296067,67,10813,5684,0.5256635531304911,0.0,0.0,237.0,0.021918061592527512,4703.0,0.4349394247664848,148.0,0.013687228336261906,41.0,0.0037917321742347173,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.5256635531304911
TOBAGO WEST,21936,11756,0.5359226841721372,29,11727,6850,0.584122111366931,0.0,0.0,471.0,0.0401637247377846,4176.0,0.3561013046815042,230.0,0.019612859213780167,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.584122111366931
TOCO/SANGRE GRANDE,26721,16725,0.6259122038845851,90,16635,9557,0.5745115719867748,3864.0,0.23228133453561767,3214.0,0.19320709347760745,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.34223023745115716
TUNAPUNA,23833,16725,0.7017580665463853,63,16662,8494,0.5097827391669667,3986.0,0.2392269835553955,4182.0,0.25099027727763773,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.2705557556115712
TOTAL,990467,655845,0.6621573459792199,2600,653245,300434,0.459910140911909,194968.0,0.2984607612763971,148345.0,0.22708937688003736,8879.0,0.013592143835773715,378.0,0.0005786496643678864,241.0,0.00036892743151497524,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.16144937963551192
ARIMA,24115,15130,0.627410325523533,73,15057,7246,0.4812379624095105,0.0,0.0,7610.0,0.5054127648269908,0.0,0.0,0.0,0.0,0.0,0.0,2010,20861.04,15500.0,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,1.1037869444581272,0.014949904694659908,1.087578771678848,0.4132752112980306,-1.0986949367114642,-0.2694155818269389,-0.809208749101586,-0.2083808338881186,1.0115221794895748,0.15259555944868175,0.9996444610311296,0.14473552206854853,201.0,0.013349272763498704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.4812379624095105
AROUCA/MALONEY,25019,17196,0.6873176385946681,46,17150,11517,0.6715451895043731,0.0,0.0,5520.0,0.321865889212828,0.0,0.0,0.0,0.0,113.0,0.006588921282798834,2010,20861.04,15500.0,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,1.1037869444581272,0.014949904694659908,1.087578771678848,0.4132752112980306,-1.0986949367114642,-0.2694155818269389,-0.809208749101586,-0.2083808338881186,1.0115221794895748,0.15259555944868175,0.9996444610311296,0.14473552206854853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.6715451895043731
BARATARIA/SAN JUAN,25394,17768,0.6996928408285422,76,17692,6742,0.38107619262943704,10950.0,0.618923807370563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,20861.04,15500.0,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81,22157920592.3669,1.1037869444581272,0.014949904694659908,1.087578771678848,0.4132752112980306,-1.0986949367114642,-0.2694155818269389,-0.809208749101586,-0.2083808338881186,1.0115221794895748,0.15259555944868175,0.9996444610311296,0.14473552206854853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.23784761474112592
