,indicator,country,countryiso3code,date,value,unit,obs_status,decimal
33,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1990,11.0644257703083,,,1
34,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1989,11.4321318133567,,,1
35,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1988,7.75849206743917,,,1
36,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1987,10.7518589920742,,,1
37,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1986,7.69367659323135,,,1
38,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1985,7.62257405520196,,,1
39,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1984,13.3347804066324,,,1
40,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1983,15.1749999993332,,,1
41,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1982,11.6347629431673,,,1
42,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1981,14.3318866009395,,,1
43,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1980,17.4703042795772,,,1
44,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1979,14.7221703689992,,,1
45,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1978,10.256586168874,,,1
46,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1977,11.7448635390942,,,1
47,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1976,10.6924643577729,,,1
48,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1975,16.9790604656895,,,1
49,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1974,22.0249772717617,,,1
